experiment,hypothesis,oof_roc_auc,mean_fold_auc,fold_auc_std,fold_scores,n_features,feature_set,configuration,folds,oof_rows
baseline_extra_trees,Reference existing final-pipeline OOF result; unchanged fixed folds.,0.540622826395035,0.5405505691962245,0.0067384681043499445,"[0.5450044847951778, 0.5338970762310606, 0.5376393768750701, 0.5515140871572293, 0.5346978209225841]",28.0,baseline_28,existing final notebook configuration,5,11982
baseline_hist_gradient_boosting,Reference existing final-pipeline OOF result; unchanged fixed folds.,0.5507105739146088,0.561188405316462,0.022946113749089708,"[0.5349714637824837, 0.5396358605587122, 0.5552012642184466, 0.5879132274601303, 0.5882202105625369]",28.0,baseline_28,existing final notebook configuration,5,11982
windows_14_60_180d,Intermediate/longer recency windows capture behavior not represented by 7/30/90-day aggregates.,0.552772143236669,0.5634577693300201,0.0268740898856822,"[0.532468178, 0.535992987, 0.561507917, 0.587817055, 0.59950271]",34.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week,transaction_count_14d,amount_sum_14d,transaction_count_60d,amount_sum_60d,transaction_count_180d,amount_sum_180d","{""l2_regularization"": 1.0, ""learning_rate"": 0.07, ""max_iter"": 250, ""max_leaf_nodes"": 31, ""random_state"": 42}",5,11982
velocity_change,Recent per-day transaction and amount intensity relative to the preceding part of each existing window highlights acceleration or deceleration.,0.5543622055838505,0.5665630600661944,0.0295951316158406,"[0.539510921, 0.534820372, 0.558391491, 0.587183154, 0.612909363]",32.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week,count_rate_ratio_7d_vs_30d,count_rate_ratio_30d_vs_90d,amount_rate_ratio_7d_vs_30d,amount_rate_ratio_30d_vs_90d","{""l2_regularization"": 1.0, ""learning_rate"": 0.07, ""max_iter"": 250, ""max_leaf_nodes"": 31, ""random_state"": 42}",5,11982
transaction_gap_stats,"Irregular spacing, burstiness, and long inactivity gaps may distinguish escalation behavior.",0.5466945365094579,0.5627362443475121,0.0276115275694894,"[0.545418179, 0.52857925, 0.548705299, 0.59671007, 0.594268424]",38.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week,gap_mean_days,gap_median_days,gap_std_days,gap_min_days,gap_q25_days,gap_q75_days,gap_max_days,gap_cv,gap_short_share,gap_long_share","{""l2_regularization"": 1.0, ""learning_rate"": 0.07, ""max_iter"": 250, ""max_leaf_nodes"": 31, ""random_state"": 42}",5,11982
transaction_sequence,Final direction/type and transition rates may add sequence information beyond unordered counts.,0.5549513734222737,0.5708230872368472,0.0249797978422192,"[0.560163341, 0.546448864, 0.54762959, 0.590474757, 0.609398884]",40.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week,last_direction_kirim,last_direction_chiqim,last_type_karta,last_type_bank_otkazmasi,last_type_naqd,last_type_xalqaro,last_amount,last_amount_to_mean_ratio,direction_switch_rate,type_switch_rate,direction_transition_count,type_transition_count","{""l2_regularization"": 1.0, ""learning_rate"": 0.07, ""max_iter"": 250, ""max_leaf_nodes"": 31, ""random_state"": 42}",5,11982
combined_feature_groups,"The window, velocity, gap, and sequence groups provide complementary gains when modeled together.",0.5624005470872411,0.5754173468928498,0.027074862179957,"[0.557589242, 0.543329042, 0.567763232, 0.586853659, 0.621551559]",60.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week,transaction_count_14d,amount_sum_14d,transaction_count_60d,amount_sum_60d,transaction_count_180d,amount_sum_180d,count_rate_ratio_7d_vs_30d,count_rate_ratio_30d_vs_90d,amount_rate_ratio_7d_vs_30d,amount_rate_ratio_30d_vs_90d,gap_mean_days,gap_median_days,gap_std_days,gap_min_days,gap_q25_days,gap_q75_days,gap_max_days,gap_cv,gap_short_share,gap_long_share,last_direction_kirim,last_direction_chiqim,last_type_karta,last_type_bank_otkazmasi,last_type_naqd,last_type_xalqaro,last_amount,last_amount_to_mean_ratio,direction_switch_rate,type_switch_rate,direction_transition_count,type_transition_count","{""l2_regularization"": 1.0, ""learning_rate"": 0.07, ""max_iter"": 250, ""max_leaf_nodes"": 31, ""random_state"": 42}",5,11982
subset_activity_no_amount,"Counts, activity, and recency may be more robust than noisy amount magnitude statistics.",0.5147372883831497,0.5203428553469823,0.0132260943154476,"[0.515783125, 0.501074589, 0.514720203, 0.53212658, 0.53800978]",17.0,"transaction_count,active_days,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,transaction_count_30d,transaction_count_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week","{""l2_regularization"": 1.0, ""learning_rate"": 0.07, ""max_iter"": 250, ""max_leaf_nodes"": 31, ""random_state"": 42}",5,11982
subset_without_calendar,Removing global calendar fields tests whether gains come from activity rather than date memorization.,0.5496991937973358,0.563776524529505,0.0315630612236171,"[0.529008301, 0.534843306, 0.552891418, 0.596879835, 0.605259762]",26.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days","{""l2_regularization"": 1.0, ""learning_rate"": 0.07, ""max_iter"": 250, ""max_leaf_nodes"": 31, ""random_state"": 42}",5,11982
hgb_smoother,A smaller tree and stronger regularization may stabilize chronological drift.,0.560377712836635,0.5718963766822329,0.0271154885733957,"[0.544039198, 0.547347005, 0.560033531, 0.59726536, 0.610796789]",28.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week","{""l2_regularization"": 2.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 15, ""random_state"": 42}",5,11982
